region,year,source,consumptionElectricity,productionElectricity,energyPerCapita,elecPerCapita
Africa,1980,coal,543.557,0.0,0.0,0.0
Africa,1980,gas,186.91400000000002,0.0,392.358,0.0
Africa,1980,hydro,142.857,48.312,299.877,101.413
Africa,1980,nuclear,0.0,0.0,0.0,0.0
Africa,1980,oil,817.2389999999999,0.0,1715.496,0.0
Africa,1980,other_renewables,0.6609999999999999,0.207,1.3869999999999998,0.435
Africa,1980,renewables,143.518,48.519,301.264,101.848
Africa,1980,solar,0.0,0.0,0.0,0.0
Africa,1980,wind,0.0,0.0,0.0,0.0
Africa,1981,coal,635.799,0.0,0.0,0.0
Africa,1981,gas,228.49099999999999,0.0,466.305,0.0
Africa,1981,hydro,148.42,50.193000000000005,302.895,102.434
Africa,1981,nuclear,0.0,0.0,0.0,0.0
Africa,1981,oil,883.862,0.0,1803.785,0.0
Africa,1981,other_renewables,0.696,0.218,1.42,0.445
Africa,1981,renewables,149.116,50.411,304.315,102.87899999999999
Africa,1981,solar,0.0,0.0,0.0,0.0
Africa,1981,wind,0.0,0.0,0.0,0.0
Africa,1982,coal,701.176,0.0,0.0,0.0
Africa,1982,gas,246.734,0.0,489.517,0.0
Africa,1982,hydro,148.459,50.206,294.54200000000003,99.609
Africa,1982,nuclear,0.0,0.0,0.0,0.0
Africa,1982,oil,925.227,0.0,1835.644,0.0
Africa,1982,other_renewables,0.753,0.23600000000000002,1.495,0.46799999999999997
Africa,1982,renewables,149.213,50.442,296.03700000000003,100.07700000000001
Africa,1982,solar,0.0,0.0,0.0,0.0
Africa,1982,wind,0.0,0.0,0.0,0.0
Africa,1983,coal,713.2460000000001,0.0,0.0,0.0
Africa,1983,gas,271.275,0.0,523.2130000000001,0.0
Africa,1983,hydro,133.795,45.247,258.053,87.26899999999999
Africa,1983,nuclear,0.0,0.0,0.0,0.0
Africa,1983,oil,964.552,0.0,1860.3470000000002,0.0
Africa,1983,other_renewables,0.7340000000000001,0.23,1.416,0.444
Africa,1983,renewables,134.53,45.477,259.469,87.713
Africa,1983,solar,0.0,0.0,0.0,0.0
Africa,1983,wind,0.0,0.0,0.0,0.0
Africa,1984,coal,762.898,0.0,0.0,0.0
Africa,1984,gas,259.903,0.0,487.30699999999996,0.0
Africa,1984,hydro,131.556,44.49,246.66299999999998,83.417
Africa,1984,nuclear,11.137,3.925,20.881999999999998,7.359
Africa,1984,oil,981.752,0.0,1840.744,0.0
Africa,1984,other_renewables,0.747,0.23399999999999999,1.401,0.439
Africa,1984,renewables,132.303,44.724,248.063,83.85600000000001
Africa,1984,solar,0.0,0.0,0.0,0.0
Africa,1984,wind,0.0,0.0,0.0,0.0
Africa,1985,coal,787.166,139.514,0.0,254.298
Africa,1985,gas,278.843,27.927,508.256,50.903
Africa,1985,hydro,146.222,49.45,266.524,90.134
Africa,1985,nuclear,15.081,5.315,27.489,9.687999999999999
Africa,1985,oil,1007.092,34.296,1835.661,62.512
Africa,1985,other_renewables,0.8590000000000001,0.26899999999999996,1.565,0.49
Africa,1985,renewables,147.08100000000002,49.718999999999994,268.089,90.624
Africa,1985,solar,0.0,0.0,0.0,0.0
Africa,1985,wind,0.0,0.0,0.0,0.0
Africa,1986,coal,805.3560000000001,142.078,0.0,251.766
Africa,1986,gas,313.27099999999996,28.349,555.123,50.235
Africa,1986,hydro,151.236,51.145,267.994,90.631
Africa,1986,nuclear,24.979,8.802999999999999,44.263000000000005,15.599
Africa,1986,oil,988.5930000000001,37.184,1751.808,65.891
Africa,1986,other_renewables,1.973,0.659,3.4960000000000004,1.168
Africa,1986,renewables,153.209,51.803999999999995,271.49,91.79799999999999
Africa,1986,solar,0.0,0.0,0.0,0.0
Africa,1986,wind,0.0,0.0,0.0,0.0
Africa,1987,coal,828.32,152.227,0.0,262.269
Africa,1987,gas,323.384,31.584,557.1519999999999,54.415
